Format,RaceBox CSV,,,,,,,,,,,
Data Source,RaceBox 2231805086,,,,,,,,,,,
Date UTC,2025-10-22T19:27:56+00:00,,,,,,,,,,,
Date,22/10/2025,,,,,,,,,,,
Time,7/27/1956,,,,,,,,,,,
Session Index,1,,,,,,,,,,,
Session Type,Track,,,,,,,,,,,
Track,No Track,,,,,,,,,,,
Configuration,,,,,,,,,,,,
Laps,0,,,,,,,,,,,
Best Lap Time,207.68,,,,,,,,,,,
,,,,,,,,,,,,
Record,Time,Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
664,2025-10-22T19:28:22.520Z,36.1403745,-86.733694,550.5,16.85,-0.267,-0.577,-0.033,0,-1.77,0.21,-37.9
665,2025-10-22T19:28:22.560Z,36.1403769,-86.7336958,550.4,16.87,-0.176,-0.569,0.11,0,-1.59,-0.6,-37.5
666,2025-10-22T19:28:22.600Z,36.1403793,-86.7336973,550.4,16.82,-0.164,-0.547,0.249,0,-1.17,-1.1,-37.05
667,2025-10-22T19:28:22.640Z,36.1403817,-86.7336988,550.4,16.89,-0.214,-0.524,0.311,0,-0.62,-1.53,-36.53
668,2025-10-22T19:28:22.680Z,36.1403841,-86.7337002,550.4,16.82,-0.29,-0.5,0.31,0,0.12,-1.6,-35.89
669,2025-10-22T19:28:22.720Z,36.1403865,-86.7337014,550.4,16.57,-0.373,-0.479,0.23,0,0.68,-1.6,-35.21
670,2025-10-22T19:28:22.760Z,36.1403889,-86.7337028,550.4,16.33,-0.533,-0.456,0.044,0,1.13,-2.05,-34.48
671,2025-10-22T19:28:22.800Z,36.1403914,-86.733704,550.4,16.35,-0.632,-0.448,-0.144,0,1.09,-2.9,-33.82
672,2025-10-22T19:28:22.840Z,36.1403939,-86.7337052,550.4,16.49,-0.687,-0.46,-0.301,0,0.79,-3.64,-33.6
673,2025-10-22T19:28:22.880Z,36.1403966,-86.7337062,550.4,16.82,-0.673,-0.484,-0.368,0,0.61,-3.62,-34.1
674,2025-10-22T19:28:22.920Z,36.1403992,-86.7337073,550.4,17.5,-0.699,-0.531,-0.456,0,0.48,-2.9,-35.3
675,2025-10-22T19:28:22.960Z,36.1404021,-86.7337084,550.3,18.11,-0.635,-0.542,-0.45,0,0.41,-1.23,-37.14
676,2025-10-22T19:28:23.000Z,36.1404051,-86.7337093,550.2,18.47,-0.639,-0.576,-0.465,0,-0.1,0.52,-39.02
677,2025-10-22T19:28:23.040Z,36.1404081,-86.73371,550.2,18.7,-0.642,-0.612,-0.439,0,-0.72,1.97,-40.65
678,2025-10-22T19:28:23.080Z,36.140411,-86.7337109,550.3,18.85,-0.664,-0.642,-0.436,0,-1.61,2.37,-41.83
679,2025-10-22T19:28:23.120Z,36.140414,-86.7337115,550.3,18.95,-0.671,-0.705,-0.43,0,-2.07,2.05,-42.67
680,2025-10-22T19:28:23.160Z,36.140417,-86.7337119,550.3,18.93,-0.633,-0.761,-0.437,0,-2.2,0.19,-43.37
681,2025-10-22T19:28:23.200Z,36.1404203,-86.7337122,550.3,19.19,-0.533,-0.787,-0.47,0,-1.86,-1.29,-43.91
682,2025-10-22T19:28:23.240Z,36.1404234,-86.7337124,550.3,19.69,-0.376,-0.791,-0.526,0,-1.53,-1.88,-44.2
683,2025-10-22T19:28:23.280Z,36.1404267,-86.7337127,550.3,20.09,-0.283,-0.796,-0.639,0,-1.44,-2.03,-44.29
684,2025-10-22T19:28:23.320Z,36.1404301,-86.7337127,550.3,20.39,-0.205,-0.77,-0.75,0,-1.32,-1.67,-43.87
685,2025-10-22T19:28:23.360Z,36.1404333,-86.7337127,550.3,20.57,-0.183,-0.768,-0.857,0,-1.27,-0.56,-42.9
686,2025-10-22T19:28:23.400Z,36.1404368,-86.7337124,550.3,20.72,-0.222,-0.782,-0.931,0,-1.32,0.07,-41.89
687,2025-10-22T19:28:23.440Z,36.14044,-86.7337122,550.3,20.83,-0.269,-0.826,-0.89,0,-1.2,0.45,-41.19
688,2025-10-22T19:28:23.480Z,36.1404434,-86.7337117,550.2,20.77,-0.259,-0.91,-0.805,0,-1.17,0.93,-41.57
689,2025-10-22T19:28:23.520Z,36.1404466,-86.7337109,550.2,20.61,-0.29,-0.997,-0.671,0,-0.91,0.2,-43.43
690,2025-10-22T19:28:23.560Z,36.1404497,-86.7337098,550.2,20.52,-0.242,-1.038,-0.509,0,-0.57,-0.85,-46.45
691,2025-10-22T19:28:23.600Z,36.1404528,-86.7337088,550.3,20.49,-0.234,-1.062,-0.427,0,-0.25,-1.99,-49.87
692,2025-10-22T19:28:23.640Z,36.1404559,-86.7337076,550.3,20.33,-0.208,-1.048,-0.367,0,-0.11,-3.38,-53.01
693,2025-10-22T19:28:23.680Z,36.140459,-86.7337062,550.3,20.29,-0.256,-1.018,-0.378,0,-0.06,-4.21,-54.98
694,2025-10-22T19:28:23.720Z,36.140462,-86.7337049,550.3,20.26,-0.321,-0.954,-0.427,0,0.17,-3.93,-55.5
695,2025-10-22T19:28:23.760Z,36.140465,-86.7337033,550.3,20.23,-0.419,-0.866,-0.472,0,0.39,-3.64,-54.11
696,2025-10-22T19:28:23.800Z,36.1404679,-86.7337017,550.4,20.21,-0.56,-0.751,-0.494,0,0.9,-3.64,-50.77
697,2025-10-22T19:28:23.840Z,36.1404709,-86.7337002,550.4,20.07,-0.716,-0.616,-0.538,0,1.73,-3.3,-45.95
698,2025-10-22T19:28:23.880Z,36.1404739,-86.7336987,550.4,19.9,-0.793,-0.469,-0.472,0,2.2,-2.74,-40.23
699,2025-10-22T19:28:23.920Z,36.1404767,-86.7336971,550.4,19.7,-0.888,-0.374,-0.443,0,1.98,-2.07,-34.44
700,2025-10-22T19:28:23.960Z,36.1404795,-86.7336955,550.4,19.33,-0.984,-0.33,-0.44,0,1.35,-1.36,-29.65
701,2025-10-22T19:28:24.000Z,36.1404822,-86.7336939,550.4,19.12,-0.922,-0.325,-0.357,0,0.35,-0.31,-26.31
702,2025-10-22T19:28:24.040Z,36.1404848,-86.7336921,550.5,19.21,-0.929,-0.362,-0.311,0,-0.89,-0.1,-24.22
703,2025-10-22T19:28:24.080Z,36.1404874,-86.7336904,550.5,19.2,-0.954,-0.403,-0.335,0,-1.42,-0.05,-23.37
704,2025-10-22T19:28:24.120Z,36.1404902,-86.7336884,550.5,19.09,-0.883,-0.416,-0.264,0,-1.75,-0.16,-23.14
705,2025-10-22T19:28:24.160Z,36.1404927,-86.7336865,550.5,18.83,-0.85,-0.423,-0.21,0,-1.68,-0.2,-22.84
706,2025-10-22T19:28:24.200Z,36.1404953,-86.7336847,550.6,18.57,-0.902,-0.411,-0.232,0,-1.22,-0.67,-22.38
707,2025-10-22T19:28:24.240Z,36.1404977,-86.7336828,550.6,18.35,-0.904,-0.385,-0.239,0,-0.68,-0.48,-21.9
708,2025-10-22T19:28:24.280Z,36.1405002,-86.7336809,550.6,18.22,-0.93,-0.362,-0.252,0,-0.4,-0.88,-21.33
709,2025-10-22T19:28:24.320Z,36.1405026,-86.7336789,550.6,18.1,-0.994,-0.356,-0.342,0,-0.09,-1.17,-20.81
710,2025-10-22T19:28:24.360Z,36.1405049,-86.7336769,550.7,18.05,-0.997,-0.363,-0.41,0,0.06,-1.04,-20.56
711,2025-10-22T19:28:24.400Z,36.1405072,-86.7336749,550.7,18.08,-0.937,-0.377,-0.414,0,0.01,-0.65,-20.57
712,2025-10-22T19:28:24.440Z,36.1405095,-86.7336727,550.7,17.87,-0.887,-0.379,-0.41,0,0.06,-0.21,-20.71
713,2025-10-22T19:28:24.480Z,36.1405118,-86.7336706,550.7,17.67,-0.817,-0.368,-0.407,0,0.17,0.59,-20.61
714,2025-10-22T19:28:24.520Z,36.140514,-86.7336686,550.8,17.49,-0.759,-0.333,-0.388,0,0.31,1.01,-20.06
715,2025-10-22T19:28:24.560Z,36.1405162,-86.7336665,550.8,17.32,-0.755,-0.258,-0.404,0,0.47,0.92,-18.74
716,2025-10-22T19:28:24.600Z,36.1405183,-86.7336644,550.8,17.32,-0.798,-0.182,-0.459,0,0.55,0.87,-16.67
717,2025-10-22T19:28:24.640Z,36.1405206,-86.7336625,550.8,17.14,-0.829,-0.111,-0.52,0,0.62,0.59,-14
718,2025-10-22T19:28:24.680Z,36.1405228,-86.7336605,550.8,17.02,-0.851,-0.037,-0.573,0,0.65,0.3,-10.92
719,2025-10-22T19:28:24.720Z,36.1405249,-86.7336586,550.8,16.87,-0.877,0.005,-0.632,0,0.41,0.21,-7.68
720,2025-10-22T19:28:24.760Z,36.1405272,-86.7336567,550.8,16.75,-0.883,0.029,-0.672,0,0.4,0.02,-4.73
721,2025-10-22T19:28:24.800Z,36.1405293,-86.7336548,550.9,16.62,-0.861,0.049,-0.688,0,0.1,-0.29,-2.12
722,2025-10-22T19:28:24.840Z,36.1405315,-86.733653,550.9,16.53,-0.796,0.045,-0.659,0,-0.14,-0.91,0.01
723,2025-10-22T19:28:24.880Z,36.1405337,-86.7336512,551,16.49,-0.691,0.039,-0.592,0,-0.28,-1.68,1.63
724,2025-10-22T19:28:24.920Z,36.1405358,-86.7336494,551,16.4,-0.55,0.047,-0.516,0,-0.53,-2.36,2.78
725,2025-10-22T19:28:24.960Z,36.140538,-86.7336476,551,16.31,-0.448,0.034,-0.501,0,-0.73,-2,3.73
726,2025-10-22T19:28:25.000Z,36.1405401,-86.7336458,551.1,16.1,-0.401,0.016,-0.526,0,-0.84,-1.68,4.38
727,2025-10-22T19:28:25.040Z,36.1405422,-86.7336441,551.2,15.93,-0.389,0.004,-0.587,0,-0.91,-1.54,4.9
728,2025-10-22T19:28:25.080Z,36.1405443,-86.7336423,551.2,15.83,-0.384,0.004,-0.639,0,-0.86,-1.17,5.24
729,2025-10-22T19:28:25.120Z,36.1405464,-86.7336407,551.2,15.94,-0.367,-0.004,-0.644,0,-0.85,-0.7,5.51
730,2025-10-22T19:28:25.160Z,36.1405486,-86.733639,551.3,15.95,-0.382,-0.006,-0.625,0,-0.75,-0.63,5.48
731,2025-10-22T19:28:25.200Z,36.1405506,-86.7336373,551.3,15.97,-0.381,0,-0.579,0,-0.95,-0.03,5.3
732,2025-10-22T19:28:25.240Z,36.1405529,-86.7336356,551.3,16.18,-0.381,0.004,-0.514,0,-1.1,0.99,5.17
733,2025-10-22T19:28:25.280Z,36.1405551,-86.7336338,551.4,16.45,-0.405,-0.003,-0.394,0,-1.17,1.4,5.03
734,2025-10-22T19:28:25.320Z,36.1405574,-86.7336321,551.4,16.67,-0.41,0,-0.284,0,-1.32,1.67,4.88
735,2025-10-22T19:28:25.360Z,36.1405596,-86.7336304,551.4,16.53,-0.324,0.006,-0.117,0,-1.33,1.96,4.87
736,2025-10-22T19:28:25.400Z,36.1405618,-86.7336286,551.4,16.33,-0.222,0.007,0.09,0,-1.15,1.92,4.82
737,2025-10-22T19:28:25.440Z,36.140564,-86.733627,551.5,16.11,-0.12,0.011,0.239,0,-1.11,2.08,4.77
738,2025-10-22T19:28:25.480Z,36.1405663,-86.7336253,551.5,16.09,-0.096,0.013,0.247,0,-0.96,1.9,4.66
739,2025-10-22T19:28:25.520Z,36.1405684,-86.7336237,551.5,16.19,-0.091,0.002,0.216,0,-0.72,0.91,4.5
740,2025-10-22T19:28:25.560Z,36.1405706,-86.733622,551.5,16.21,-0.125,-0.004,0.123,0,-0.58,0.43,4.04
741,2025-10-22T19:28:25.600Z,36.140573,-86.7336204,551.5,16.21,-0.172,-0.022,-0.046,0,-0.34,0,3.53
742,2025-10-22T19:28:25.640Z,36.1405751,-86.7336187,551.6,16.28,-0.187,-0.041,-0.141,0,-0.02,-1.03,3.07
743,2025-10-22T19:28:25.680Z,36.1405773,-86.733617,551.6,16.3,-0.14,-0.047,-0.135,0,0.16,-1.14,2.51
744,2025-10-22T19:28:25.720Z,36.1405796,-86.7336152,551.7,16.22,-0.13,-0.064,-0.127,0,0.35,-0.64,1.99
745,2025-10-22T19:28:25.760Z,36.1405817,-86.7336135,551.7,16.24,-0.124,-0.083,-0.091,0,0.61,-0.46,1.4
746,2025-10-22T19:28:25.800Z,36.1405839,-86.7336118,551.7,16.34,-0.148,-0.11,-0.088,0,0.77,-0.78,0.41
747,2025-10-22T19:28:25.840Z,36.1405861,-86.7336102,551.7,16.31,-0.181,-0.141,-0.114,0,0.88,-1.08,-0.96
748,2025-10-22T19:28:25.880Z,36.1405883,-86.7336084,551.7,16.33,-0.197,-0.195,-0.142,0,0.73,-1.28,-2.75
749,2025-10-22T19:28:25.920Z,36.1405906,-86.7336064,551.7,16.4,-0.169,-0.249,-0.154,0,0.66,-1.64,-5.07
750,2025-10-22T19:28:25.960Z,36.1405926,-86.7336046,551.8,16.44,-0.14,-0.306,-0.179,0,0.47,-0.88,-7.77
751,2025-10-22T19:28:26.000Z,36.1405948,-86.7336026,551.8,16.5,-0.14,-0.347,-0.205,0,0.33,-0.09,-10.33
752,2025-10-22T19:28:26.040Z,36.1405967,-86.7336006,551.8,16.52,-0.178,-0.358,-0.241,0,0.51,0.47,-12.68
753,2025-10-22T19:28:26.080Z,36.1405988,-86.7335985,551.9,16.43,-0.229,-0.348,-0.273,0,0.5,-0.31,-14.45
754,2025-10-22T19:28:26.120Z,36.1406009,-86.7335965,551.9,16.4,-0.282,-0.33,-0.262,0,0.59,-0.77,-15.75
755,2025-10-22T19:28:26.160Z,36.1406029,-86.7335945,551.9,16.33,-0.329,-0.309,-0.266,0,0.58,-1.89,-16.76
756,2025-10-22T19:28:26.200Z,36.1406048,-86.7335924,551.9,16.4,-0.343,-0.312,-0.265,0,0.38,-3.03,-17.68
757,2025-10-22T19:28:26.240Z,36.1406068,-86.7335902,552,16.57,-0.304,-0.347,-0.272,0,-0.22,-3.23,-18.76
758,2025-10-22T19:28:26.280Z,36.1406088,-86.7335879,552,16.65,-0.263,-0.412,-0.272,0,-0.82,-2.26,-20.3
759,2025-10-22T19:28:26.320Z,36.1406107,-86.7335855,552,16.71,-0.235,-0.484,-0.296,0,-1.34,-1.32,-22.09
760,2025-10-22T19:28:26.360Z,36.1406125,-86.7335831,552,16.71,-0.24,-0.533,-0.313,0,-1.46,-0.75,-24.02
761,2025-10-22T19:28:26.400Z,36.1406143,-86.7335806,552.1,16.62,-0.267,-0.555,-0.3,0,-1.21,-0.8,-25.91
762,2025-10-22T19:28:26.440Z,36.1406159,-86.7335782,552.1,16.4,-0.324,-0.531,-0.218,0,-0.74,-1.49,-27.4
763,2025-10-22T19:28:26.480Z,36.1406175,-86.7335757,552.2,16.37,-0.29,-0.482,-0.052,0,-0.33,-2.68,-28.19
764,2025-10-22T19:28:26.520Z,36.1406192,-86.7335732,552.2,16.28,-0.248,-0.43,0.164,0,-0.11,-3.64,-28.5
765,2025-10-22T19:28:26.560Z,36.1406208,-86.7335705,552.3,16.31,-0.209,-0.394,0.35,0,0.09,-3.88,-28.46
766,2025-10-22T19:28:26.600Z,36.1406224,-86.733568,552.3,16.37,-0.198,-0.352,0.434,0,0.08,-3.72,-28.17
767,2025-10-22T19:28:26.640Z,36.140624,-86.7335654,552.3,16.15,-0.178,-0.339,0.414,0,0.14,-3.56,-27.61
768,2025-10-22T19:28:26.680Z,36.1406253,-86.7335629,552.4,16,-0.274,-0.321,0.228,0,0.4,-3.56,-26.96
769,2025-10-22T19:28:26.720Z,36.1406268,-86.7335602,552.4,16.26,-0.414,-0.311,-0.063,0,0.51,-3.57,-26.15
770,2025-10-22T19:28:26.760Z,36.1406283,-86.7335573,552.5,16.85,-0.575,-0.301,-0.331,0,0.95,-3.56,-25.08
771,2025-10-22T19:28:26.800Z,36.1406299,-86.7335544,552.5,17.38,-0.706,-0.274,-0.535,0,0.84,-3.87,-23.73
772,2025-10-22T19:28:26.840Z,36.1406315,-86.7335514,552.5,17.67,-0.818,-0.248,-0.711,0,0.86,-4.15,-21.93
773,2025-10-22T19:28:26.880Z,36.1406332,-86.7335485,552.6,17.8,-0.835,-0.2,-0.746,0,0.96,-3.68,-19.61
774,2025-10-22T19:28:26.920Z,36.1406347,-86.7335456,552.6,17.98,-0.83,-0.115,-0.722,0,1.01,-3.81,-16.52
775,2025-10-22T19:28:26.960Z,36.1406364,-86.7335426,552.7,18.07,-0.817,-0.002,-0.702,0,1.12,-3.93,-12.15
776,2025-10-22T19:28:27.000Z,36.1406382,-86.7335398,552.8,18.12,-0.799,0.103,-0.668,0,1.53,-3.78,-7.08
777,2025-10-22T19:28:27.040Z,36.14064,-86.7335369,552.8,18.29,-0.787,0.227,-0.604,0,1.68,-2.84,-1.4
778,2025-10-22T19:28:27.080Z,36.140642,-86.7335341,552.8,18.66,-0.856,0.348,-0.64,0,1.69,-1.89,4.6
779,2025-10-22T19:28:27.120Z,36.1406441,-86.7335312,552.9,18.96,-0.813,0.425,-0.608,0,1.67,0.21,10.49
780,2025-10-22T19:28:27.160Z,36.1406462,-86.7335284,552.9,19.28,-0.795,0.493,-0.563,0,1.03,2.08,15.93
781,2025-10-22T19:28:27.200Z,36.1406484,-86.7335257,553,19.28,-0.765,0.556,-0.546,0,0.68,3.88,21.08
782,2025-10-22T19:28:27.240Z,36.1406508,-86.7335231,553.1,19.37,-0.74,0.583,-0.536,0,0.48,5.13,25.88
783,2025-10-22T19:28:27.280Z,36.140653,-86.7335205,553.2,19.51,-0.644,0.62,-0.479,0,0.24,5.84,30.29
784,2025-10-22T19:28:27.320Z,36.1406555,-86.7335181,553.2,19.57,-0.599,0.655,-0.545,0,0.3,5.94,34.34
785,2025-10-22T19:28:27.360Z,36.1406581,-86.7335157,553.3,19.69,-0.522,0.673,-0.637,0,0.53,5.9,37.93
786,2025-10-22T19:28:27.400Z,36.1406606,-86.7335133,553.4,19.92,-0.434,0.707,-0.715,0,0.89,5.86,41.26
787,2025-10-22T19:28:27.440Z,36.1406634,-86.733511,553.4,20.26,-0.389,0.767,-0.749,0,1.44,5.94,44.31
788,2025-10-22T19:28:27.480Z,36.1406662,-86.733509,553.5,20.36,-0.365,0.836,-0.68,0,1.98,6.49,47.35
789,2025-10-22T19:28:27.520Z,36.1406691,-86.7335071,553.6,20.13,-0.324,0.914,-0.582,0,2.11,6.34,50.5
790,2025-10-22T19:28:27.560Z,36.1406721,-86.7335054,553.6,19.93,-0.346,0.972,-0.526,0,1.91,5.57,53.42
791,2025-10-22T19:28:27.600Z,36.140675,-86.7335038,553.7,19.94,-0.367,0.999,-0.513,0,1.37,4.92,56.08
792,2025-10-22T19:28:27.640Z,36.140678,-86.7335025,553.8,19.76,-0.382,0.993,-0.591,0,0.5,4.84,57.84
793,2025-10-22T19:28:27.680Z,36.140681,-86.7335011,553.9,19.78,-0.435,0.977,-0.683,0,-0.41,4.62,58.67
794,2025-10-22T19:28:27.720Z,36.1406842,-86.7335001,553.9,19.82,-0.448,0.972,-0.729,0,-1.3,4.79,58.86
795,2025-10-22T19:28:27.760Z,36.1406873,-86.7334992,554,19.85,-0.473,0.955,-0.744,0,-2.07,5.42,58.72
796,2025-10-22T19:28:27.800Z,36.1406905,-86.7334985,554,19.67,-0.513,0.896,-0.743,0,-2.89,5.79,57.88
797,2025-10-22T19:28:27.840Z,36.1406936,-86.733498,554.1,19.56,-0.528,0.793,-0.712,0,-3.61,5.69,56.35
798,2025-10-22T19:28:27.880Z,36.1406968,-86.7334975,554.2,19.66,-0.496,0.64,-0.705,0,-4.03,5.68,53.57
799,2025-10-22T19:28:27.920Z,36.1406999,-86.7334968,554.2,19.74,-0.549,0.471,-0.718,0,-4.14,5.99,49.26
800,2025-10-22T19:28:27.960Z,36.1407031,-86.7334961,554.3,19.73,-0.578,0.319,-0.692,0,-3.79,5.74,43.67
801,2025-10-22T19:28:28.000Z,36.1407062,-86.7334956,554.3,19.8,-0.609,0.211,-0.653,0,-3.17,5.14,37.84
802,2025-10-22T19:28:28.040Z,36.1407093,-86.7334951,554.4,19.77,-0.663,0.118,-0.589,0,-2.42,4.21,32.12
803,2025-10-22T19:28:28.080Z,36.1407125,-86.7334946,554.5,19.62,-0.736,0.019,-0.609,0,-1.81,3.31,26.63
804,2025-10-22T19:28:28.120Z,36.1407155,-86.7334939,554.5,19.5,-0.718,-0.1,-0.576,0,-1.56,1.75,21.03
805,2025-10-22T19:28:28.160Z,36.1407186,-86.7334932,554.5,19.56,-0.774,-0.254,-0.629,0,-1.62,0.46,14.8
806,2025-10-22T19:28:28.200Z,36.1407216,-86.7334925,554.5,19.5,-0.752,-0.432,-0.604,0,-1.97,0.44,7.41
807,2025-10-22T19:28:28.240Z,36.1407246,-86.7334913,554.6,19.45,-0.747,-0.607,-0.531,0,-2.33,0.37,-1.48
808,2025-10-22T19:28:28.280Z,36.1407275,-86.7334903,554.6,19.33,-0.817,-0.745,-0.463,0,-2.29,-0.28,-10.62
809,2025-10-22T19:28:28.320Z,36.1407304,-86.7334889,554.7,19.24,-0.877,-0.837,-0.406,0,-2.01,-0.67,-19.05
810,2025-10-22T19:28:28.360Z,36.1407332,-86.7334875,554.8,19.05,-0.918,-0.887,-0.338,0,-1.57,-0.81,-26.44
811,2025-10-22T19:28:28.400Z,36.140736,-86.733486,554.9,19.05,-0.988,-0.918,-0.359,0,-1.27,-1.46,-32.68
812,2025-10-22T19:28:28.440Z,36.1407388,-86.7334844,554.9,18.95,-0.971,-0.931,-0.361,0,-1.13,-1.34,-37.55
813,2025-10-22T19:28:28.480Z,36.1407414,-86.7334826,555,18.77,-0.918,-0.962,-0.302,0,-1.59,-0.61,-41.92
814,2025-10-22T19:28:28.520Z,36.1407438,-86.7334807,555,18.63,-0.904,-1.002,-0.262,0,-1.64,0.33,-46.37
815,2025-10-22T19:28:28.560Z,36.1407463,-86.7334787,555.1,18.46,-0.872,-1.024,-0.207,0,-2.11,0.67,-50.48
816,2025-10-22T19:28:28.600Z,36.1407486,-86.7334765,555.2,18.31,-0.905,-1.034,-0.175,0,-2.03,0.37,-54
817,2025-10-22T19:28:28.640Z,36.1407508,-86.7334742,555.3,18.11,-1.009,-1.019,-0.23,0,-1.9,-0.42,-56.66
818,2025-10-22T19:28:28.680Z,36.1407529,-86.7334719,555.3,17.96,-1.068,-1.001,-0.302,0,-1.72,-1.18,-58.41
819,2025-10-22T19:28:28.720Z,36.140755,-86.7334695,555.4,17.66,-1.096,-0.968,-0.356,0,-1.52,-1.68,-59.29
820,2025-10-22T19:28:28.760Z,36.1407569,-86.7334669,555.4,17.56,-1.128,-0.95,-0.425,0,-1.43,-2.46,-59.58
821,2025-10-22T19:28:28.800Z,36.1407587,-86.7334642,555.5,17.5,-1.106,-0.928,-0.465,0,-1.34,-2.59,-59.43
822,2025-10-22T19:28:28.840Z,36.1407604,-86.7334616,555.5,17.26,-1.045,-0.912,-0.468,0,-1.39,-2.41,-59.01
823,2025-10-22T19:28:28.880Z,36.140762,-86.7334587,555.6,17.08,-0.984,-0.894,-0.473,0,-1.18,-2.31,-58.43
824,2025-10-22T19:28:28.920Z,36.1407635,-86.733456,555.6,17.03,-0.884,-0.88,-0.463,0,-1.1,-2.58,-57.81
825,2025-10-22T19:28:28.960Z,36.1407649,-86.7334531,555.7,16.94,-0.734,-0.872,-0.443,0,-0.99,-1.93,-57.11
826,2025-10-22T19:28:29.000Z,36.1407662,-86.7334501,555.7,16.75,-0.586,-0.866,-0.433,0,-0.73,-1.12,-56.45
827,2025-10-22T19:28:29.040Z,36.1407674,-86.7334473,555.8,16.6,-0.473,-0.857,-0.428,0,-0.31,-0.29,-55.81
828,2025-10-22T19:28:29.080Z,36.1407685,-86.7334443,555.8,16.52,-0.441,-0.843,-0.439,0,0.16,0.26,-55.29
829,2025-10-22T19:28:29.120Z,36.1407695,-86.7334412,555.9,16.48,-0.522,-0.816,-0.496,0,0.69,0.69,-54.97
830,2025-10-22T19:28:29.160Z,36.1407704,-86.7334381,555.9,16.37,-0.611,-0.793,-0.504,0,0.84,0.92,-54.98
831,2025-10-22T19:28:29.200Z,36.1407712,-86.733435,555.9,16.23,-0.728,-0.768,-0.523,0,0.71,0.9,-55.16
832,2025-10-22T19:28:29.240Z,36.140772,-86.7334319,556,16.21,-0.88,-0.744,-0.581,0,0.38,0.95,-55.43
833,2025-10-22T19:28:29.280Z,36.1407725,-86.7334288,556,16.32,-0.896,-0.754,-0.549,0,-0.33,1.37,-55.68
834,2025-10-22T19:28:29.320Z,36.140773,-86.7334255,556.1,16.59,-0.812,-0.768,-0.447,0,-0.81,1.36,-55.79
835,2025-10-22T19:28:29.360Z,36.1407736,-86.7334221,556.1,16.56,-0.691,-0.785,-0.328,0,-1.28,1.28,-55.78
836,2025-10-22T19:28:29.400Z,36.1407739,-86.733419,556.1,16.36,-0.504,-0.813,-0.163,0,-1.89,0.9,-55.71
837,2025-10-22T19:28:29.440Z,36.1407741,-86.7334156,556.2,16.15,-0.328,-0.829,-0.019,0,-2.18,0.68,-55.45
838,2025-10-22T19:28:29.480Z,36.1407742,-86.7334124,556.2,16.14,-0.253,-0.802,0.101,0,-2.06,0.12,-55.2
839,2025-10-22T19:28:29.520Z,36.1407742,-86.7334091,556.2,16.11,-0.196,-0.777,0.246,0,-2.13,0.21,-55.02
840,2025-10-22T19:28:29.560Z,36.1407741,-86.7334058,556.3,16.07,-0.151,-0.75,0.355,0,-1.83,0.46,-54.8
841,2025-10-22T19:28:29.600Z,36.140774,-86.7334026,556.3,16.05,-0.132,-0.735,0.359,0,-1.43,1.43,-54.35
842,2025-10-22T19:28:29.640Z,36.1407736,-86.7333994,556.3,16.04,-0.134,-0.733,0.304,0,-0.78,2.17,-54
843,2025-10-22T19:28:29.680Z,36.1407733,-86.7333963,556.3,16.06,-0.175,-0.73,0.138,0,-0.33,2.92,-53.61
844,2025-10-22T19:28:29.720Z,36.1407728,-86.7333931,556.3,16.12,-0.248,-0.733,0.014,0,0.06,3.77,-53.18
845,2025-10-22T19:28:29.760Z,36.1407723,-86.7333898,556.3,16.3,-0.319,-0.701,-0.013,0,0.52,4.05,-52.81
846,2025-10-22T19:28:29.800Z,36.1407717,-86.7333865,556.3,16.24,-0.363,-0.666,0.074,0,0.52,3.9,-52.27
847,2025-10-22T19:28:29.840Z,36.140771,-86.7333833,556.3,16.03,-0.37,-0.637,0.17,0,1,3.16,-51.18
848,2025-10-22T19:28:29.880Z,36.1407703,-86.7333804,556.3,15.86,-0.373,-0.592,0.2,0,1.22,1.45,-49.83
849,2025-10-22T19:28:29.920Z,36.1407695,-86.7333773,556.3,15.97,-0.344,-0.557,0.17,0,1.01,-1.2,-48.52
850,2025-10-22T19:28:29.960Z,36.1407686,-86.7333743,556.3,16.1,-0.31,-0.566,0.128,0,0.14,-2.42,-46.98
851,2025-10-22T19:28:30.000Z,36.1407676,-86.7333712,556.3,16.17,-0.283,-0.558,0.123,0,-0.26,-4.13,-45.85
852,2025-10-22T19:28:30.040Z,36.1407665,-86.7333683,556.3,16.16,-0.23,-0.55,0.247,0,-0.96,-5.09,-45.15
853,2025-10-22T19:28:30.080Z,36.1407656,-86.7333654,556.3,16.08,-0.187,-0.554,0.436,0,-0.99,-4.77,-44.24
854,2025-10-22T19:28:30.120Z,36.1407644,-86.7333625,556.3,16.04,-0.136,-0.526,0.666,0,-0.39,-3.61,-43.24
855,2025-10-22T19:28:30.160Z,36.140763,-86.7333597,556.3,16.09,-0.132,-0.491,0.776,0,0.05,-2.65,-42.09
856,2025-10-22T19:28:30.200Z,36.1407619,-86.733357,556.4,15.86,-0.212,-0.463,0.721,0,0.31,-1.88,-40.8
857,2025-10-22T19:28:30.240Z,36.1407606,-86.7333543,556.4,15.61,-0.302,-0.429,0.537,0,0.59,-1.28,-39.59
858,2025-10-22T19:28:30.280Z,36.1407593,-86.7333517,556.4,15.45,-0.38,-0.42,0.283,0,0.44,-1.17,-38.39
